Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6180.25,6177.75,1/6/2025 11:25:00 PM,1/6/2025 11:40:00 PM,BullishEntry,Stop loss,($125.00),($125.00),$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$62.50,$187.50,4,
2,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6135.50,6131.25,1/7/2025 12:30:00 PM,1/7/2025 12:30:00 PM,BullishEntry,Stop loss,($212.50),($337.50),$0.00,$0.00,$0.00,$0.00,$0.00,$212.50,$0.00,$212.50,1,
3,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6113.75,6115.00,1/7/2025 4:00:00 PM,1/7/2025 5:00:00 PM,BullishEntry,Exit on session close,$62.50,($275.00),$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$325.00,$262.50,13,
4,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6149.25,6145.50,1/16/2025 12:25:00 AM,1/16/2025 12:40:00 AM,BullishEntry,Stop loss,($187.50),($462.50),$0.00,$0.00,$0.00,$0.00,$0.00,$187.50,$50.00,$237.50,4,
5,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6163.50,6175.75,1/16/2025 2:15:00 AM,1/16/2025 2:45:00 AM,BullishEntry,Profit target,$612.50,$150.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$612.50,$0.00,7,
6,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6167.00,6162.50,1/16/2025 6:55:00 AM,1/16/2025 7:05:00 AM,BullishEntry,Stop loss,($225.00),($75.00),$0.00,$0.00,$0.00,$0.00,$0.00,$225.00,$125.00,$350.00,3,
7,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6163.25,6143.75,1/16/2025 11:15:00 AM,1/16/2025 11:45:00 AM,BullishEntry,Stop loss,($975.00),($1050.00),$0.00,$0.00,$0.00,$0.00,$0.00,$975.00,$0.00,$975.00,7,
8,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6153.00,6148.50,1/16/2025 1:15:00 PM,1/16/2025 1:20:00 PM,BullishEntry,Stop loss,($225.00),($1275.00),$0.00,$0.00,$0.00,$0.00,$0.00,$225.00,$112.50,$337.50,2,
9,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6154.00,6145.75,1/16/2025 3:15:00 PM,1/16/2025 3:20:00 PM,BullishEntry,Stop loss,($412.50),($1687.50),$0.00,$0.00,$0.00,$0.00,$0.00,$412.50,$12.50,$425.00,2,
10,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6192.50,6189.75,1/19/2025 11:10:00 PM,1/19/2025 11:30:00 PM,BullishEntry,Stop loss,($137.50),($1825.00),$0.00,$0.00,$0.00,$0.00,$0.00,$137.50,$0.00,$137.50,5,
11,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6209.00,6215.50,1/20/2025 8:40:00 AM,1/20/2025 1:00:00 PM,BullishEntry,Exit on session close,$325.00,($1500.00),$0.00,$0.00,$0.00,$0.00,$0.00,$587.50,$1500.00,$1175.00,53,
12,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6203.00,6195.75,1/20/2025 9:15:00 PM,1/20/2025 9:35:00 PM,BullishEntry,Stop loss,($362.50),($1862.50),$0.00,$0.00,$0.00,$0.00,$0.00,$362.50,$37.50,$400.00,5,
13,ES DEC25,Backtest,TTradesFractalModelV27,Long,1,6203.25,6198.00,1/21/2025 1:20:00 AM,1/21/2025 1:45:00 AM,BullishEntry,Stop loss,($262.50),($2125.00),$0.00,$0.00,$0.00,$0.00,$0.00,$262.50,$62.50,$325.00,6,
14,ES DEC25,Backtest,TTradesFractalModelV27,Short,1,6210.75,6221.75,1/27/2025 6:25:00 PM,1/28/2025 3:55:00 AM,BearishEntry,Stop loss,($550.00),($2675.00),$0.00,$0.00,$0.00,$0.00,$0.00,$550.00,$887.50,$1437.50,115,
15,ES DEC25,Backtest,TTradesFractalModelV27,Short,1,6217.75,6200.50,1/28/2025 9:35:00 AM,1/28/2025 9:40:00 AM,BearishEntry,Profit target,$862.50,($1812.50),$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$862.50,$0.00,2,
16,ES DEC25,Backtest,TTradesFractalModelV27,Short,1,6249.75,6245.50,1/28/2025 12:40:00 PM,1/28/2025 12:45:00 PM,BearishEntry,Profit target,$212.50,($1600.00),$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,$212.50,$0.00,2,
17,ES DEC25,Backtest,TTradesFractalModelV27,Short,1,6210.75,6213.75,2/4/2025 10:15:00 AM,2/4/2025 10:15:00 AM,BearishEntry,Stop loss,($150.00),($1750.00),$0.00,$0.00,$0.00,$0.00,$0.00,$150.00,$0.00,$150.00,1,
