Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ DEC25,Backtest,TtradesReversalV4,Short,1,21914.50,21921.00,1/3/2025 9:20:00 AM,1/3/2025 9:20:00 AM,S,Stop loss,($130.00),($130.00),$0.00,$0.00,$0.00,$0.00,$0.00,$130.00,$0.00,$130.00,1,
2,NQ DEC25,Backtest,TtradesReversalV4,Short,1,22389.75,22389.75,1/6/2025 8:15:00 AM,1/6/2025 9:30:00 AM,S,Stop loss,$0.00,($130.00),$0.00,$0.00,$0.00,$0.00,$0.00,$435.00,$1850.00,$1850.00,16,
3,NQ DEC25,Backtest,TtradesReversalV4,Long,1,21968.75,21940.50,1/9/2025 9:00:00 AM,1/9/2025 9:05:00 AM,L,Stop loss,($565.00),($695.00),$0.00,$0.00,$0.00,$0.00,$0.00,$565.00,$75.00,$640.00,2,
4,NQ DEC25,Backtest,TtradesReversalV4,Short,1,21933.50,21942.25,1/15/2025 9:00:00 AM,1/15/2025 9:00:00 AM,S,Stop loss,($175.00),($870.00),$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$0.00,$175.00,1,
5,NQ DEC25,Backtest,TtradesReversalV4,Long,1,22105.75,22102.25,1/16/2025 8:30:00 AM,1/16/2025 8:30:00 AM,L,Stop loss,($70.00),($940.00),$0.00,$0.00,$0.00,$0.00,$0.00,$70.00,$0.00,$70.00,1,
6,NQ DEC25,Backtest,TtradesReversalV4,Short,1,22568.50,22571.25,1/22/2025 8:30:00 AM,1/22/2025 8:30:00 AM,S,Stop loss,($55.00),($995.00),$0.00,$0.00,$0.00,$0.00,$0.00,$55.00,$0.00,$55.00,1,
7,NQ DEC25,Backtest,TtradesReversalV4,Short,1,22546.25,22565.25,1/23/2025 8:45:00 AM,1/23/2025 9:40:00 AM,S,Stop loss,($380.00),($1375.00),$0.00,$0.00,$0.00,$0.00,$0.00,$380.00,$495.00,$875.00,12,
8,NQ DEC25,Backtest,TtradesReversalV4,Long,1,22442.00,22435.75,1/31/2025 8:15:00 AM,1/31/2025 8:15:00 AM,L,Stop loss,($125.00),($1500.00),$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$0.00,$125.00,1,
9,NQ DEC25,Backtest,TtradesReversalV4,Short,1,21858.50,21903.75,2/3/2025 8:40:00 AM,2/3/2025 9:35:00 AM,S,Stop loss,($905.00),($2405.00),$0.00,$0.00,$0.00,$0.00,$0.00,$905.00,$560.00,$1465.00,12,
10,NQ DEC25,Backtest,TtradesReversalV4,Long,1,22536.00,22502.50,2/7/2025 8:50:00 AM,2/7/2025 8:55:00 AM,L,Stop loss,($670.00),($3075.00),$0.00,$0.00,$0.00,$0.00,$0.00,$670.00,$0.00,$670.00,2,
11,NQ DEC25,Backtest,TtradesReversalV4,Short,1,22473.75,22478.25,2/12/2025 8:00:00 AM,2/12/2025 8:00:00 AM,S,Stop loss,($90.00),($3165.00),$0.00,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$90.00,1,
