Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6132.25,6153.25,1/15/2025 11:35:00 AM,1/15/2025 2:30:00 PM,LumiShort,Stop loss,($1050.00),($1050.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1050.00,$787.50,$1837.50,36,
2,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6209.50,6216.50,2/5/2025 10:55:00 AM,2/5/2025 11:10:00 AM,LumiShort,Stop loss,($350.00),($1400.00),$0.00,$0.00,$0.00,$0.00,$0.00,$350.00,$112.50,$462.50,4,
3,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6262.00,6262.00,2/6/2025 10:20:00 AM,2/6/2025 1:00:00 PM,LumiShort,Stop loss,$0.00,($1400.00),$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$800.00,$800.00,33,
4,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6217.25,6233.50,2/12/2025 10:40:00 AM,2/12/2025 4:05:00 PM,LumiLong,Sell,$812.50,($587.50),$0.00,$0.00,$0.00,$0.00,$0.00,$825.00,$1412.50,$600.00,66,
5,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6299.25,6287.50,2/18/2025 11:35:00 AM,2/18/2025 2:10:00 PM,LumiLong,Stop loss,($587.50),($1175.00),$0.00,$0.00,$0.00,$0.00,$0.00,$587.50,$250.00,$837.50,32,
6,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6298.50,6304.00,2/19/2025 10:45:00 AM,2/19/2025 11:15:00 AM,LumiLong,Profit target,$275.00,($900.00),$0.00,$0.00,$0.00,$0.00,$0.00,$312.50,$275.00,$0.00,7,
7,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6108.00,6105.00,3/3/2025 11:35:00 AM,3/3/2025 11:40:00 AM,LumiLong,Stop loss,($150.00),($1050.00),$0.00,$0.00,$0.00,$0.00,$0.00,$150.00,$212.50,$362.50,2,
8,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,5941.50,5930.25,3/5/2025 10:30:00 AM,3/5/2025 11:15:00 AM,LumiLong,Stop loss,($562.50),($1612.50),$0.00,$0.00,$0.00,$0.00,$0.00,$562.50,$1162.50,$1725.00,10,
9,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,5725.25,5716.75,3/13/2025 11:25:00 AM,3/13/2025 11:30:00 AM,LumiLong,Stop loss,($425.00),($2037.50),$0.00,$0.00,$0.00,$0.00,$0.00,$425.00,$25.00,$450.00,2,
10,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,5747.00,5747.00,3/14/2025 10:30:00 AM,3/14/2025 10:35:00 AM,LumiShort,Stop loss,$0.00,($2037.50),$0.00,$0.00,$0.00,$0.00,$0.00,$37.50,$450.00,$450.00,2,
11,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,5772.00,5792.50,3/21/2025 10:20:00 AM,3/21/2025 11:00:00 AM,LumiLong,Profit target,$1025.00,($1012.50),$0.00,$0.00,$0.00,$0.00,$0.00,$225.00,$1025.00,$0.00,9,
12,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,5941.25,5936.50,3/25/2025 11:10:00 AM,3/25/2025 11:35:00 AM,LumiShort,Profit target,$237.50,($775.00),$0.00,$0.00,$0.00,$0.00,$0.00,$112.50,$237.50,$0.00,6,
13,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,5599.25,5595.75,4/3/2025 11:55:00 AM,4/3/2025 11:55:00 AM,LumiLong,Stop loss,($175.00),($950.00),$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$0.00,$175.00,1,
14,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,5139.00,5166.00,4/7/2025 11:25:00 AM,4/7/2025 11:40:00 AM,LumiShort,Stop loss,($1350.00),($2300.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1350.00,$2275.00,$3625.00,4,
15,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,5583.00,5518.00,4/14/2025 10:35:00 AM,4/14/2025 11:50:00 AM,LumiShort,Profit target,$3250.00,$950.00,$0.00,$0.00,$0.00,$0.00,$0.00,$887.50,$3250.00,$0.00,16,
16,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,5422.25,5422.25,4/17/2025 11:35:00 AM,4/17/2025 11:55:00 AM,LumiLong,Stop loss,$0.00,$950.00,$0.00,$0.00,$0.00,$0.00,$0.00,$37.50,$987.50,$987.50,5,
17,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,5664.50,5607.50,4/28/2025 10:45:00 AM,4/28/2025 1:15:00 PM,LumiShort,Profit target,$2850.00,$3800.00,$0.00,$0.00,$0.00,$0.00,$0.00,$287.50,$2850.00,$0.00,31,
18,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,5616.00,5632.00,4/30/2025 11:00:00 AM,4/30/2025 11:10:00 AM,LumiLong,Profit target,$800.00,$4600.00,$0.00,$0.00,$0.00,$0.00,$0.00,$275.00,$800.00,$0.00,3,
19,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,5802.75,5804.00,5/2/2025 10:30:00 AM,5/2/2025 10:30:00 AM,LumiShort,Stop loss,($62.50),$4537.50,$0.00,$0.00,$0.00,$0.00,$0.00,$62.50,$0.00,$62.50,1,
20,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6059.50,6059.50,5/28/2025 9:45:00 AM,5/28/2025 9:45:00 AM,LumiShort,Stop loss,$0.00,$4537.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,
21,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6120.75,6120.75,6/13/2025 11:30:00 AM,6/13/2025 11:30:00 AM,LumiShort,Stop loss,$0.00,$4537.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,
22,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6124.50,6119.25,6/17/2025 11:35:00 AM,6/17/2025 1:00:00 PM,LumiShort,Profit target,$262.50,$4800.00,$0.00,$0.00,$0.00,$0.00,$0.00,$575.00,$262.50,$0.00,18,
23,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6034.50,6034.50,6/19/2025 12:00:00 PM,6/19/2025 12:00:00 PM,LumiLong,Stop loss,$0.00,$4800.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,
24,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6209.25,6201.25,6/25/2025 11:00:00 AM,6/25/2025 11:15:00 AM,LumiShort,Profit target,$400.00,$5200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$400.00,$0.00,4,
25,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6273.25,6278.25,6/27/2025 10:00:00 AM,6/27/2025 10:00:00 AM,LumiShort,Stop loss,($250.00),$4950.00,$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,$0.00,$250.00,1,
26,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6348.25,6354.75,7/14/2025 10:45:00 AM,7/14/2025 11:00:00 AM,LumiShort,Stop loss,($325.00),$4625.00,$0.00,$0.00,$0.00,$0.00,$0.00,$325.00,$137.50,$462.50,4,
27,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6325.50,6299.75,8/1/2025 11:20:00 AM,8/1/2025 2:10:00 PM,LumiLong,Stop loss,($1287.50),$3337.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1287.50,$1412.50,$2700.00,35,
28,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6525.25,6531.25,8/25/2025 10:00:00 AM,8/25/2025 10:05:00 AM,LumiLong,Profit target,$300.00,$3637.50,$0.00,$0.00,$0.00,$0.00,$0.00,$62.50,$300.00,$0.00,2,
29,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6444.25,6439.25,9/2/2025 11:30:00 AM,9/2/2025 11:40:00 AM,LumiLong,Stop loss,($250.00),$3387.50,$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,$175.00,$425.00,3,
30,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6651.25,6643.50,9/12/2025 11:20:00 AM,9/12/2025 11:50:00 AM,LumiShort,Profit target,$387.50,$3775.00,$0.00,$0.00,$0.00,$0.00,$0.00,$87.50,$387.50,$0.00,7,
31,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6760.25,6766.25,10/2/2025 10:20:00 AM,10/2/2025 4:05:00 PM,LumiShort,Buy to cover,($300.00),$3475.00,$0.00,$0.00,$0.00,$0.00,$0.00,$562.50,$937.50,$1237.50,70,
32,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6797.75,6795.00,10/7/2025 9:50:00 AM,10/7/2025 9:50:00 AM,LumiShort,Profit target,$137.50,$3612.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$137.50,$0.00,1,
33,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6734.00,6718.75,10/16/2025 11:05:00 AM,10/16/2025 11:30:00 AM,LumiShort,Profit target,$762.50,$4375.00,$0.00,$0.00,$0.00,$0.00,$0.00,$487.50,$762.50,$0.00,6,
34,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6915.50,6912.75,10/28/2025 10:40:00 AM,10/28/2025 12:30:00 PM,LumiShort,ConsolidationExit,$137.50,$4512.50,$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$625.00,$487.50,23,
35,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6898.25,6906.75,10/30/2025 10:45:00 AM,10/30/2025 10:45:00 AM,LumiLong,Profit target,$425.00,$4937.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$425.00,$0.00,1,
36,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6674.00,6674.00,11/14/2025 9:40:00 AM,11/14/2025 9:40:00 AM,LumiLong,Stop loss,$0.00,$4937.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,
37,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,1,6651.75,6658.75,11/18/2025 11:35:00 AM,11/18/2025 11:40:00 AM,LumiLong,Profit target,$350.00,$5287.50,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$350.00,$0.00,2,
38,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,1,6865.50,6837.50,12/4/2025 10:50:00 AM,12/4/2025 2:25:00 PM,LumiShort,Profit target,$1400.00,$6687.50,$0.00,$0.00,$0.00,$0.00,$0.00,$275.00,$1400.00,$0.00,44,
